website,id,date,layer_counts,all_packet_count,all_packet_sizes,all_packet_total_size,all_packet_min_size,all_packet_max_size,all_packet_average_size,tcp_packet_count,tcp_packet_sizes,tcp_packet_total_size,tcp_packet_min_size,tcp_packet_max_size,tcp_packet_average_size,udp_count,udp_packet_count,udp_packet_sizes,udp_packet_total_size,udp_packet_min_size,udp_packet_max_size,udp_packet_average_size,ip_packet_count,ip_packet_sizes,ip_packet_total_size,ip_packet_min_size,ip_packet_max_size,ip_packet_average_size,dns_count,dns_query_types,dns_response_codes,dns_incomplete_transactions,data_count,data_total_payload_size,data_min_payload_size,data_max_payload_size,data_avg_payload_size
https://telegram.me/AlnsrArmy,382c8868-540d-4960-be22-35f667b5e7af,2025-05-01 06:48:48,{},0,[],0,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,0,0,0,{},{},0,0,0,0,0,0
https://telegram.me/AlnsrArmy,d8bc05ed-f616-45ea-80d8-42c4ed5b341b,2025-05-01 07:15:32,{},0,[],0,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,0,0,0,{},{},0,0,0,0,0,0
https://telegram.me/AlnsrArmy,d27ffa52-e386-477e-9bc9-ad974aceb921,2025-05-01 07:42:49,{},0,[],0,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,0,0,0,{},{},0,0,0,0,0,0
https://telegram.me/AlnsrArmy,a194265b-cd9b-4e19-a09e-48fc06961bb4,2025-05-01 08:09:34,{},0,[],0,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,0,0,0,{},{},0,0,0,0,0,0
https://telegram.me/AlnsrArmy,e596385a-4a26-4f0c-9cdd-6dbbd6bedba2,2025-05-01 08:36:17,{},0,[],0,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,0,0,0,{},{},0,0,0,0,0,0
https://telegram.me/AlnsrArmy,fa2064cf-a99a-4dbe-b671-edc6f2fd75cb,2025-05-01 09:02:54,{},0,[],0,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,0,0,0,{},{},0,0,0,0,0,0
https://telegram.me/AlnsrArmy,4e2ae510-a715-4437-ab33-e3463e0057f5,2025-05-01 09:29:22,{},0,[],0,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,0,0,0,{},{},0,0,0,0,0,0
https://telegram.me/AlnsrArmy,4baa3459-a94f-4856-ac45-039cc26038f4,2025-05-01 09:56:16,{},0,[],0,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,0,0,0,{},{},0,0,0,0,0,0
https://telegram.me/AlnsrArmy,60e647f1-13b3-4c55-98fb-1c2b2b922fea,2025-05-01 10:22:51,{},0,[],0,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,0,0,0,{},{},0,0,0,0,0,0
https://telegram.me/AlnsrArmy,a10cf95d-d413-4db7-99f6-474634fc5cc2,2025-05-01 10:49:19,{},0,[],0,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,0,0,0,{},{},0,0,0,0,0,0
